Pradiniai duomenys:

Jau pastatytu parduotuviu koordinates:
  x         y
-3.9     -2.34
-0.29      0.88
8.16      7.75
-3.91      3.62
-9.12      6.33
-7.59     -1.42
9.78     -4.88
-4.71      7.36
1.5     -7.17
2.65      2.08
-4.37      9.79
-2.82       9.7
5.1      9.52
0.63      6.16
-4.32      2.09
-4.48     -7.12
-7.45     -5.07
-1.79      3.15
5.64     -4.81
-9.33     -2.41
-6.53       2.6
4.81     -8.11
-6.53     -0.95
3.44      9.61
-7.11     -6.08
-3.57      5.84
2.95     -0.48
6.24       9.1
-0.65      9.67
3.74     -2.46
4.12      0.15
-4.22      7.54
1.16     -3.05
  2      8.92
-9.66     -6.49
-1.55     -5.34
-2.9     -6.11
1.07     -2.39
6.8     -7.59
-1.67      4.99
3.52     -3.83
2.41      1.64
-2.81      -2.8
9.68     -7.81
6.75     -4.06
0.34      6.09
-4.51      -6.9
2.76     -5.62
-3.16      -0.3
-1.34      9.21
-4.55     -7.81
1.07      0.36
-2.17     -7.83
-4.58     -7.87
5.43      2.53
-3.04       8.9
-8.18     -1.71
9.64     -1.78
3.12      7.02
6.08      7.38
-9.53     -9.85
-5.68     -7.54
 10      6.27
-5.96      2.25
4.29      8.99
-5.03      7.37
-3.51      0.67
-5.55      3.67
1.26      4.32
-0.33     -5.68
-6.36      5.13
 -6      5.42
-1.92     -9.22
-3.06     -1.82
-1.62      9.67
-9.44      3.26
-4.97     -4.45
4.94         7
-3.28     -5.94
-7.63      -7.6
-9.98     -9.36
6.92      4.19
-2.92      7.61
-3.18      6.29
-8.24      -6.9
8.08      -8.4
3.87       7.9
7.77      4.26
2.65      5.81
-6.63     -0.57
2.61     -5.35
9.03     -2.19
-9.46     -7.19
6.1      4.91
-3.05     -9.09
-5.56        -9
-2.27      8.66
9.42      3.61
5.81       0.3
-8.47      6.29
 -4      -7.2
5.72     -2.84
1.82     -2.82
-7.02     -0.73
-0.02       7.6
7.35     -6.65
-9.25      8.57
5.44      0.48
6.53     -8.55
-6.06     -7.22
-9.52      9.93
-2.91      0.58

Gauti rezultatai:
         x         y
    2.1303  -49.9907
  -55.1471  -11.7349
   -57.932   18.2367
   54.8826   20.1491
  -51.9788   23.6603
  -21.4468  -51.2559
  -24.0846  -47.0955
    38.824   36.9897
    -21.16  -52.1739
   50.6586   27.6717
  -56.4261   17.4641
   23.2369  -49.9599
  -9.44581   58.5685
  -32.2624     52.77
   10.4369  -54.4088
  -39.7951  -31.5695
  -56.0481  -3.11908
   8.91261  -55.3424
  -44.1253     41.51
  -2.48752   59.3342
   21.8799  -43.6359
  -44.8407  -7.73223
  -17.3757  -49.1922
  -55.1278   19.6147
    39.893   36.6143
  -55.1053  -17.6142
   20.8378   52.1307
  -49.4908  -23.0899
  -55.2704    2.1164
  -49.4808   31.2984
  -33.0723  -49.2489
  -57.9194  -11.4728
   31.6198  -43.0329
  -29.5779  -43.4974
   22.0896   51.8275
  -36.1718  -50.9746
  -51.0005    29.715
   43.5332   38.3626
   30.9072  -41.6153
   47.7107   41.0168
  -50.7728   15.3638
  -22.0285   -46.504
   13.5794    55.995
   42.9255   26.2023
  -11.4642  -53.2595
  -59.0539  0.798282
  -56.8441   7.89791
   36.1303  -33.6503
   4.73448   -49.186
  -50.1089    30.799
  -27.0943  -43.8348
   47.6988   8.24193
  -26.4835   41.7005
   16.6014   -55.113
   56.3127    20.915
  -45.6362   40.5643
   -32.861   38.3165
  -15.9557  -53.1452
  -12.9659  -55.8605
  -17.0588    -56.45
  -41.5883    12.981
   48.6016    27.943
  -44.8447  -9.05768
  -3.14261  -49.7044
  -14.9112   54.8305
  -55.4229     22.44
   59.4261   -9.8942
   45.8984   40.0153
   7.88451   45.6969
  -28.3996  -53.3658
  -3.47114  -49.7643
  -56.7563  -2.86457
   47.3277   41.4476
   49.3196   32.6534
  -56.1206   9.49945
   32.1068   42.8993
  -57.3496  -4.20466
   -32.847   26.4744
  -54.0581   4.87635
   -44.162   7.99353
   4.99366     54.73
   30.0551  -42.7889
   2.30778  -56.8121
  -32.6031   51.1132
   59.1401  -2.53657
   2.87151   -56.429
   51.2213   22.6201
  -51.9194   22.6993
  -49.3591   18.4799
    25.479  -41.9681
   47.3076   38.8541
  -53.8015   6.91281
  -58.2653   15.5356
  -55.4402  -15.9238
   59.5416-0.00287756
  -47.2641   33.6116
  -6.11085  -56.5874
    39.873  -31.3034
  -30.2566   52.5671
  -19.1242    56.967
   46.2395   37.9373
   44.5425   30.0701
  -51.6378  -14.0662
  -20.0562  -54.6319
  -56.7565  -13.3687
   22.2958  -40.6663
  -42.9852   6.83418
  -59.3112  -3.78269
  -53.0356   20.9638
  -21.8941  -50.3816
  -52.4496  -20.7335
   36.9998    46.674
  -50.7779  -30.4339
  -44.2564   34.9023
   2.15926  -50.4737
   48.3487   36.0603
   -4.7443   59.5021
  -27.9864    36.185
   2.70488    -49.83
  -42.8905   39.2353
     48.22   13.8425
   26.4504    52.534
  -54.7982  -27.9969
   19.5182  -50.6846
   6.99459  -55.1212
   45.6079   20.3338
  -1.64923  -56.8709
   23.9781   47.9106
  -29.7131   33.5272
   20.0479  -45.1457
  -28.0194   40.3797
   51.0502  -35.8903
  -8.42654   43.5811
   43.2287   31.7914
  -21.8603  -53.7932
  -15.1379  -52.3069
  -19.7649  -47.4622
  -3.31803   59.1709
  -18.4318  -55.8443
    25.022  -43.5297
   15.3955   -54.643
  -18.6897  -55.8379
   52.0655   20.5614
  -22.3482   55.0215
  -56.9975  -12.5199
   58.2597   9.88724
   51.2781  -6.42594
   49.0749   32.9033
  -40.9917  -48.7108
  -32.4147  -49.7923
     52.81   32.1023
  -54.8156   12.8863
   48.2552   32.8031
  -48.9177   31.3256
  -27.4556  -43.2231
  -52.2356   21.5712
   41.2578   34.3229
   17.6715   -52.327
  -50.9326   27.7858
  -51.8344   25.4001
   15.4857  -56.0926
  -39.8311   32.0605
  -8.41628    59.206
  -57.3867   17.4415
   -54.839  -8.06738
   50.8295   26.8533
  -1.39448  -55.9044
  -42.6285  -43.3086
  -43.6075  -46.3626
   49.7323   30.0184
  -22.3545   53.6784
  -34.8928   44.9462
  -48.6765   -36.309
   23.7895   -55.868
   53.8296   9.90905
   52.9563   25.6656
   38.9906   40.1518
  -51.8962  -21.8061
   -9.1249  -53.9534
   54.7873    17.966
  -50.7374  -35.4066
   41.4267   40.2939
   3.95562  -58.5968
  -26.4628  -54.4211
  -10.4326   57.9892
   56.4701     20.53
   49.6557  -23.7324
  -56.6799   19.5492
  -11.1626  -56.6843
  -23.8725   37.4624
    45.674   21.1973
  -52.9648  -20.4549
   35.6977   42.5892
   12.0471  -56.4289
  -59.2489   8.23518
   42.3013  -33.3023
  -2.95497  -57.6421
   -37.184  -46.3518
  -54.6003    31.558
  -15.7596  -47.7407

